date,overall,sociability,health,happiness,energy,positivity,moment,uniqueness,excitement,productivity,integrity,purpose,bottles drank,times peed,time slept,time awaked,total sleep time,effectiveness (Am I SPENDING the RIGHT TIME),Sleep Min,Sleep Hr,Awake Hr,% of planned output
2022-04-08,,,,,,,,,,,,,,,5.0,,,,1.0,5.0,,
2022-04-09,8.7,,,,,,,,,,,,,,,,,,,,,
2022-04-10,,,,,,,,,,,,,,,,,,,,,,
2022-04-11,9.0,9.4,8.0,8.7,7.6,8.0,,,,,,,,,6.4,10.5,4.1,,21.0,6.0,10.0,
2022-04-12,,,,,,,,,,,,,,,4.2,2.9,-1.3,,10.0,4.0,2.0,
2022-04-13,9.0,8.5,9.5,9.0,9.5,,,,,,,,,,6.3,,,,20.0,6.0,,
2022-04-14,,,,,,,,,,,,,,,,,,,,,,
2022-04-15,8.7,8.0,9.0,8.4,8.0,,,,,,,,,,,,,,,,,
2022-04-16,8.6,8.0,8.6,8.5,8.0,8.9,,,,,,,,,6.8,,,,45.0,6.0,,
2022-04-17,,,,,,,,,,,,,,,7.3,13.5,6.2,,20.0,7.0,13.0,
2022-04-18,8.7,,8.9,8.6,9.6,,,,,,,,,,6.8,11.9,5.1,,50.0,6.0,11.0,
2022-04-19,,,,,,,,,,,,,,,5.8,11.8,6.0,,45.0,5.0,11.0,
2022-04-20,8.2,,,,,,,,,,,,,,,,,,,,,
2022-04-21,,,,,,,,,,,,,,,,,,,,,,
2022-04-22,8.7,9.0,9.0,8.5,8.0,,,,,,,,,,,,,,,,,
2022-04-23,,,,,,,,,,,,,,,,,,,,,,
2022-04-24,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,,,,,,,,,,,,,,,,,,,,,
2022-04-26,,,,,,,,,,,,,,,,,,,,,,
2022-04-27,,,,,,,,,,,,,,,,,,,,,,
2022-04-28,9.6,9.5,9.0,9.6,8.8,8.0,,,,,,,,,5.6,,,,35.0,5.0,,
2022-04-29,,,,,,,,,,,,,,,,,,,,,,
2022-04-30,,,,,,,,,,,,,,,4.2,9.0,4.8,,10.0,4.0,9.0,
2022-05-01,9.9,9.7,9.5,10.0,9.5,,,,,,,,,,,,,,0.0,2.0,,
2022-05-02,,,,,,,,,,,,,,,,,,,,,,
2022-05-03,8.1,8.0,8.7,8.0,7.5,8.4,,,,8.5,,,3.0,2.0,11.8,,,7.8,45.0,11.0,,70.0
2022-05-04,,,,,,,,,,,,,,,11.8,7.5,-4.3,,45.0,11.0,7.0,
2022-05-05,8.9,9.3,9.5,8.6,9.6,9.5,,,,9.0,,,5.0,5.0,11.3,,,7.5,15.0,11.0,,80.0
2022-05-06,9.2,9.3,9.0,8.5,9.6,9.3,,,,,,,4.0,5.0,3.3,,,,15.0,3.0,,
2022-05-07,,9.6,,,8.0,,,,,,,,3.0,2.0,,,,,,,,
2022-05-08,9.0,8.9,8.0,8.9,9.3,9.0,,,,9.0,,,5.0,4.0,2.1,,,8.0,5.0,2.0,,100.0
2022-05-09,8.7,9.5,8.5,8.8,8.0,,,,,7.7,,,3.0,5.0,1.3,,,7.5,20.0,1.0,,80.0
2022-05-10,7.6,9.5,7.0,7.7,8.0,8.0,,,,9.0,,,4.0,5.0,,,,6.0,0.0,4.0,,
2022-05-11,,8.2,9.0,9.3,8.6,,,,,7.0,,,5.0,4.0,,,,,,,,
2022-05-12,7.6,8.7,7.0,7.0,8.0,7.5,,,,,,,,,2.8,,,,45.0,2.0,,
2022-05-13,8.0,9.0,7.0,8.2,8.0,8.3,,,,,,,,,4.1,,,,6.0,4.0,,
2022-05-14,,9.3,,8.8,8.5,,,,,,,,4.0,3.0,,,,,,,,
2022-05-15,9.3,9.4,8.8,,9.0,9.5,,,,,,,2.0,,0.9,,,,55.0,0.0,,
2022-05-16,9.0,9.6,9.2,9.3,9.0,9.3,,,,,,,4.0,6.0,1.3,,,,15.0,1.0,,
2022-05-17,8.1,8.7,7.5,8.5,8.2,7.0,,,,,,,5.0,5.0,4.1,10.0,5.9,,5.0,4.0,10.0,
2022-05-18,9.1,9.3,9.1,9.3,8.5,9.6,,,,7.0,,,5.0,5.0,1.8,,,7.0,45.0,1.0,,70.0
2022-05-19,8.0,7.9,8.0,8.0,8.0,8.7,,,,,,,4.0,6.0,12.8,,,,45.0,12.0,,
2022-05-20,9.2,9.0,8.9,9.4,,8.7,,,,,,,,,4.8,,,,45.0,4.0,,
2022-05-21,8.2,8.5,7.7,8.7,8.0,7.9,,,,,,,,,,,,,0.0,3.0,,
2022-05-22,8.1,,8.0,8.6,8.8,8.7,,,,9.0,,,3.0,4.0,12.6,7.8,-4.8,7.8,35.0,12.0,7.0,
2022-05-23,8.6,8.0,7.9,8.7,7.4,,,,,,,,,,2.4,,,,25.0,2.0,,
2022-05-24,9.0,9.5,9.1,9.2,8.2,9.6,,,,7.8,,,5.5,,12.9,8.3,-4.6,,55.0,12.0,8.0,
2022-05-25,8.3,8.3,8.7,,,8.0,,,,,,,3.5,5.0,1.8,8.0,6.2,,50.0,1.0,8.0,
2022-05-26,9.5,9.7,9.0,9.5,9.0,9.8,,,,,,,5.0,5.0,1.5,7.8,6.3,,30.0,1.0,7.0,
2022-05-27,9.2,9.3,9.5,9.1,9.2,9.5,,,,,,,5.0,4.0,2.3,,,,20.0,2.0,,
2022-05-28,9.7,9.6,9.4,9.7,9.5,9.8,,,,,,,6.0,4.0,4.5,10.8,6.3,,30.0,4.0,10.0,
2022-05-29,7.5,,8.0,7.3,6.0,8.3,,,,,,,5.0,5.0,0.1,6.0,5.9,,5.0,0.0,6.0,
2022-05-30,9.1,9.0,8.0,9.0,7.5,9.3,,,,9.0,,,,,1.4,,,7.7,25.0,1.0,,90.0
2022-05-31,8.5,8.0,8.0,8.4,7.5,8.3,,,,9.0,,,,,12.6,,,8.0,35.0,12.0,,90.0
2022-06-01,9.3,9.4,9.2,9.0,8.8,9.4,,,,,,,,,12.7,7.0,-5.7,,42.0,12.0,7.0,
2022-06-02,8.6,9.7,8.0,8.6,8.0,9.0,,,,,,,,,11.4,,,,25.0,11.0,,
2022-06-03,9.0,9.4,8.5,8.6,7.8,,,,,,,,,,,,,,,,,
2022-06-04,8.7,8.3,8.0,8.5,8.0,8.0,,,,,,,8.0,6.0,,,,,,3.0,,
2022-06-05,8.8,8.2,9.2,8.7,9.0,8.9,,,,,,,,,1.5,,,,30.0,1.0,,
2022-06-06,8.6,8.0,9.3,8.6,9.0,9.5,,,,9.0,,,4.0,4.0,1.3,,,9.0,15.0,1.0,,100.0
2022-06-07,9.2,8.6,9.7,9.6,8.8,9.5,,,,,,,,,,,,,,,,
2022-06-08,8.6,8.8,8.0,8.6,8.3,7.8,,,,9.0,,,,,12.8,,,6.0,45.0,12.0,,
2022-06-09,8.5,9.0,8.0,8.5,8.8,9.0,,,,,,,6.0,4.0,2.4,,,,25.0,2.0,,
2022-06-10,8.8,9.4,8.0,8.6,8.5,,,,,,,,6.0,4.0,,,,6.0,,1.0,,
