Date,overall,sociability,health,happiness,energy,positivity,moment,uniqueness,excitement,productivity,integrity,purpose,bottles drank,times peed,time slept,time awaked,total sleep time,effectiveness (Am I SPENDING the RIGHT TIME),Sleep Min,Sleep Hr,Awake Hr,% of planned output,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Time slept,Time woken,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,scrobbles
2022-02-13,7.0,7.9,7.0,7.9,7.5,,,,,6.0,,,,,0.8,5.0,4.2,6.0,50.0,0.0,5.0,,"2,810","7,792",6.11,12,"1,251",161,7,21,"1,059",,,,,,,,,,56.0
2022-02-14,9.3,9.5,9.0,9.3,9.0,,,,,,,,,,1.2,6.7,5.5,,10.0,1.0,6.0,,"3,449","12,861",10.01,17,808,361,29,8,"1,931",1:04AM,4:58AM,207.0,27.0,9.0,234.0,46.0,142.0,19.0,41.0
2022-02-15,9.5,9.2,9.1,9.5,8.0,,,,,,,,,,1.2,7.2,6.0,,10.0,1.0,7.0,,"4,777","28,674",22.45,32,613,267,53,185,"3,481",1:15AM,6:37AM,276.0,46.0,16.0,322.0,67.0,203.0,6.0,100.0
2022-02-16,8.2,9.0,8.5,8.0,6.0,,,,,,,,,,0.8,8.3,7.5,,50.0,0.0,8.0,,"3,528","13,392",10.49,20,731,298,45,15,"1,933",1:23AM,7:14AM,323.0,28.0,1.0,351.0,,,,76.0
2022-02-17,9.0,9.0,8.8,9.2,9.0,,,,,,,,,,0.4,5.8,5.4,,25.0,0.0,5.0,,"3,766","15,777",12.38,15,654,190,85,77,"2,220",1:07AM,8:21AM,378.0,56.0,22.0,434.0,68.0,264.0,46.0,78.0
2022-02-18,9.5,9.1,9.0,9.7,9.2,9.0,,,,,,,,,3.9,,,,55.0,3.0,,,"4,186","16,706",13.1,31,660,319,70,72,"2,769",12:26AM,5:46AM,282.0,37.0,18.0,319.0,75.0,180.0,27.0,105.0
2022-02-19,9.2,9.6,8.0,9.1,9.5,9.4,,,,,,,,,,,,,,,,,"3,923","16,895",13.17,11,647,308,47,81,"2,506",3:57AM,9:55AM,312.0,21.0,2.0,357.0,,,,50.0
2022-02-20,8.8,8.0,7.5,8.8,7.0,8.6,,,,,,,,,,,,,,,,,"4,394","22,843",17.92,25,817,500,80,43,"3,201",,,,,,,,,,89.0
2022-02-21,9.6,8.5,,9.7,9.3,,,,,,,,,,,,,,,,,,"3,960","20,558",16.14,32,385,191,91,108,"2,508",1:03AM,12:09PM,605.0,60.0,30.0,665.0,154.0,334.0,117.0,34.0
2022-02-22,9.7,8.5,,9.8,8.0,,,,,,,,,,,,,,,,,,"4,129","22,132",17.25,30,721,266,95,59,"2,558",2:01AM,7:00AM,292.0,7.0,0.0,299.0,,,,26.0
2022-02-23,7.9,8.0,8.6,8.2,7.6,8.8,,,,7.0,,,,,3.8,9.5,5.7,6.0,45.0,3.0,9.0,,"2,872","7,067",5.55,5,"1,074",252,0,0,"1,162",2:43AM,4:37AM,105.0,9.0,1.0,114.0,,,,89.0
2022-02-24,,7.2,7.0,7.6,7.9,7.0,,,,,,,,,2.3,,,,20.0,2.0,,,"4,573","25,398",19.92,17,572,324,48,148,"3,268",3:45AM,9:33AM,337.0,11.0,1.0,348.0,,,,83.0
2022-02-25,8.8,8.0,8.8,9.2,9.0,9.7,,,,,,,,,3.3,,,,15.0,3.0,,,"3,169","10,025",7.8,16,627,311,9,5,"1,573",2:20AM,10:29AM,433.0,55.0,25.0,488.0,110.0,244.0,79.0,112.0
2022-02-26,9.3,9.3,9.0,9.5,9.5,9.4,,,,6.0,,,,,3.5,9.5,6.0,6.0,30.0,3.0,9.0,20.0,"3,551","12,720",9.98,20,697,325,24,39,"2,044",3:21AM,9:16AM,327.0,28.0,19.0,355.0,89.0,185.0,53.0,106.0
2022-02-27,9.3,9.8,9.2,9.6,9.3,,,,,9.0,,,,,1.3,7.0,5.7,8.0,15.0,1.0,7.0,80.0,"4,627","24,210",18.95,23,577,297,118,111,"3,326",3:33AM,9:11AM,306.0,31.0,19.0,337.0,20.0,223.0,63.0,97.0
2022-02-28,9.7,9.8,9.4,9.9,9.7,9.3,,,,8.3,,,,,3.0,8.8,5.8,7.5,1.0,3.0,8.0,100.0,"3,784","13,825",10.81,18,737,299,50,43,"2,228",1:46AM,6:57AM,273.0,38.0,12.0,311.0,61.0,178.0,34.0,89.0
2022-03-01,8.5,9.0,8.6,8.9,8.8,,,,,,,,,,3.2,,,,10.0,3.0,,,"3,505","13,208",10.37,21,729,288,48,35,"1,949",3:06AM,8:46AM,297.0,43.0,14.0,340.0,64.0,182.0,51.0,90.0
2022-03-02,,,,,,,,,,,,,,,,,,,,,,,"3,769","15,341",12.03,29,827,288,49,45,"2,185",3:07AM,6:59AM,226.0,5.0,1.0,231.0,,,,76.0
2022-03-03,8.8,,7.9,8.8,7.0,9.0,,,,,,,,,1.2,8.0,6.8,,10.0,1.0,8.0,,"4,011","20,872",16.41,31,868,281,40,87,"2,493",4:39AM,7:23AM,154.0,10.0,2.0,164.0,,,,27.0
2022-03-04,9.1,9.3,8.8,9.2,9.0,,,,,8.0,,,,,2.3,10.3,8.0,7.3,15.0,2.0,10.0,,"3,440","13,150",10.29,25,722,279,27,27,"1,829",1:16AM,7:41AM,342.0,43.0,19.0,385.0,83.0,220.0,39.0,
2022-03-05,8.8,7.0,8.6,8.5,9.0,8.0,,,,,,,,,3.3,10.5,7.2,,15.0,3.0,10.0,,"3,495","15,595",12.31,13,"1,065",310,16,49,"2,015",,,,,,,,,,34.0
2022-03-06,9.0,9.0,8.6,9.1,9.2,,,,,9.0,,,,,,,,7.7,,,,,"3,067","10,280",8.03,15,692,281,5,13,"1,464",3:01AM,10:30AM,410.0,39.0,23.0,449.0,107.0,221.0,82.0,130.0
2022-03-07,9.3,9.6,7.9,9.4,7.0,9.3,,,,,,,,,,,,,,,,,"2,046",975,0.77,0,"1,151",48,0,0,188,3:02AM,7:03AM,211.0,30.0,12.0,241.0,10.0,162.0,39.0,127.0
2022-03-08,8.8,8.8,8.0,9.0,7.4,,,,,,,,,,,,,,,,,,"1,900",0,0.0,0,"1,440",0,0,0,0,,,,,,,,,,55.0
2022-03-09,9.0,9.5,9.0,9.8,9.0,10.0,,,,,,,,,,,,,,,,,"3,425","8,467",6.62,22,"1,133",235,39,33,"1,875",,,,,,,,,,103.0
2022-03-10,9.3,9.2,8.0,9.5,9.3,9.3,,,,,,,,,6.0,,,,1.0,6.0,,,"3,276","9,673",7.48,14,773,260,26,17,"1,562",6:35AM,12:39PM,318.0,46.0,15.0,364.0,106.0,156.0,56.0,63.0
2022-03-11,9.2,9.6,7.8,8.5,9.0,9.0,,,,,,,,,4.3,11.7,7.4,,15.0,4.0,11.0,,"3,751","12,843",9.96,25,691,364,34,10,"2,185",6:05AM,11:46AM,296.0,45.0,12.0,341.0,72.0,161.0,63.0,111.0
2022-03-12,,,,,,,,,,,,,,,4.0,10.0,6.0,,1.0,4.0,10.0,,"4,623","25,350",19.88,13,478,314,87,131,"3,307",4:24AM,11:34AM,376.0,54.0,19.0,430.0,111.0,182.0,83.0,85.0
2022-03-13,,,,,,,,,,,,,,,,,,,,,,,"3,366","15,142",11.89,18,842,192,16,83,"1,780",4:16AM,9:24AM,269.0,38.0,9.0,307.0,35.0,216.0,18.0,60.0
2022-03-14,9.3,,,,,,,,,,,,,,,,,,,,,,"3,503","11,676",9.13,34,736,261,37,36,"1,847",2:24AM,8:34AM,344.0,26.0,1.0,370.0,,,,82.0
2022-03-15,9.6,9.6,9.0,9.6,7.0,9.8,,,,,,,,,1.8,7.8,6.0,,45.0,1.0,7.0,,"3,405","12,278",9.61,35,767,274,30,16,"1,758",1:53AM,7:46AM,306.0,47.0,5.0,353.0,,,,95.0
2022-03-16,,,,,,,,,,,,,,,,,,,,,,,"4,363","24,032",18.83,33,611,342,41,96,"2,969",1:54AM,7:45AM,305.0,45.0,4.0,350.0,,,,124.0
2022-03-17,,,,,,,,,,,,,,,,,,,,,,,"3,304","11,084",8.67,18,789,275,17,16,"1,647",2:52AM,8:35AM,298.0,45.0,14.0,343.0,63.0,183.0,52.0,51.0
2022-03-18,8.4,,7.5,,,,,,,,,,,,,,,,,3.0,,,"4,486","26,858",21.07,21,555,270,65,142,"3,120",11:42PM,6:30AM,357.0,51.0,18.0,408.0,93.0,186.0,78.0,140.0
2022-03-19,,,,,,,,,,,,,,,3.0,10.5,7.5,,1.0,3.0,10.0,,"3,050","9,190",7.21,7,662,272,12,9,"1,411",3:14AM,11:19AM,425.0,60.0,15.0,485.0,101.0,260.0,64.0,131.0
2022-03-20,,,,,,,,,,,,,,,,,,,,,,,"3,389","14,070",10.98,31,670,242,34,42,"1,812",3:01AM,10:33AM,397.0,55.0,24.0,452.0,99.0,232.0,66.0,122.0
2022-03-21,,,,,,,,,,,,,,,,,,,,,,,"3,175","10,946",8.57,17,921,299,11,10,"1,564",8:10AM,11:29AM,178.0,21.0,8.0,199.0,44.0,107.0,27.0,134.0
2022-03-22,,,,,,,,,,,,,,,,,,,,,,,"3,096","9,411",7.35,20,744,240,16,9,"1,387",2:11AM,9:22AM,372.0,59.0,22.0,431.0,81.0,227.0,64.0,134.0
2022-03-23,,,,,,,,,,,,,,,,,,,,,,,"3,856","17,802",13.97,30,"1,044",294,39,63,"2,324",,,,,,,,,,148.0
2022-03-24,,,,,,,,,,,,,,,,,,,,,,,"3,672","13,717",10.73,23,744,314,57,28,"2,136",5:05AM,10:02AM,261.0,36.0,13.0,297.0,66.0,150.0,45.0,72.0
2022-03-25,,,,,,,,,,,,,,,3.0,10.5,7.5,,1.0,3.0,10.0,,"3,795","15,678",12.31,15,678,353,39,25,"2,293",3:58AM,9:43AM,327.0,18.0,1.0,345.0,,,,116.0
2022-03-26,,,,,,,,,,,,,,,4.5,10.8,6.3,,30.0,4.0,10.0,,"4,569","25,327",19.83,33,531,232,88,153,"3,240",3:07AM,10:24AM,415.0,20.0,1.0,436.0,,,,123.0
2022-03-27,,,,,,,,,,,,,,,3.5,,,,30.0,3.0,,,"3,395","14,097",11.02,25,785,167,71,62,"1,804",4:17AM,10:12AM,309.0,46.0,16.0,355.0,70.0,203.0,36.0,135.0
2022-03-28,8.5,8.4,8.0,9.0,8.4,9.0,,,,,,,,,1.7,7.7,6.0,,40.0,1.0,7.0,,"3,547","15,925",12.5,34,839,275,35,33,"1,973",3:40AM,7:58AM,232.0,26.0,12.0,258.0,67.0,108.0,57.0,63.0
2022-03-29,,,,,,,,,,,,,,,2.3,8.9,6.6,,15.0,2.0,8.0,,"3,861","16,567",13.01,27,705,263,79,41,"2,275",1:51AM,7:43AM,313.0,39.0,19.0,352.0,73.0,206.0,34.0,92.0
2022-03-30,,8.0,,8.5,5.0,,,,,,,,,,,,,,,,,,"2,266","2,184",1.69,0,954,88,6,0,439,2:23AM,8:55AM,332.0,60.0,22.0,392.0,51.0,225.0,56.0,108.0
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,"3,469","10,898",8.51,10,556,214,65,33,"1,778",10:12PM,7:44AM,482.0,90.0,29.0,572.0,39.0,373.0,70.0,108.0
2022-04-01,,,,,,,,,,,,,,,6.0,,,,1.0,6.0,,,"4,653","25,059",19.6,42,549,300,105,127,"3,321",1:51AM,7:50AM,305.0,54.0,20.0,359.0,41.0,249.0,15.0,76.0
2022-04-02,,,,,,,,,,,,,,,,,,,,,,,"2,785","7,046",5.47,4,840,234,6,4,"1,079",6:17AM,12:13PM,325.0,31.0,1.0,356.0,,,,95.0
