Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2022-06-09 12:48AM,2022-06-09 8:19AM,379,72,29,451,77.0,249.0,53.0
2022-06-08 1:45AM,2022-06-08 6:58AM,281,32,1,313,,,
2022-06-07 1:21AM,2022-06-07 7:30AM,320,49,13,369,73.0,193.0,54.0
2022-06-06 1:32AM,2022-06-06 8:00AM,343,45,19,388,68.0,224.0,51.0
2022-06-05 2:57AM,2022-06-05 10:27AM,399,51,22,450,70.0,290.0,39.0
2022-06-04 2:21AM,2022-06-04 9:37AM,396,39,14,435,101.0,215.0,80.0
2022-06-02 11:26PM,2022-06-03 5:28AM,318,44,18,362,64.0,178.0,76.0
2022-06-02 12:46AM,2022-06-02 6:52AM,342,24,17,366,71.0,231.0,40.0
2022-06-01 12:40AM,2022-06-01 7:00AM,321,59,10,380,99.0,196.0,26.0
2022-02-28 1:46AM,2022-02-28 6:57AM,273,38,12,311,61.0,178.0,34.0
2022-02-27 3:33AM,2022-02-27 9:11AM,306,31,19,337,20.0,223.0,63.0
2022-02-26 3:21AM,2022-02-26 9:16AM,327,28,19,355,89.0,185.0,53.0
2022-02-25 2:20AM,2022-02-25 10:29AM,433,55,25,488,110.0,244.0,79.0
2022-02-24 3:45AM,2022-02-24 9:33AM,337,11,1,348,,,
2022-02-23 2:43AM,2022-02-23 4:37AM,105,9,1,114,,,
2022-02-22 2:01AM,2022-02-22 7:00AM,292,7,0,299,,,
2022-02-21 1:03AM,2022-02-21 12:09PM,605,60,30,665,154.0,334.0,117.0
2022-02-19 3:57AM,2022-02-19 9:55AM,312,21,2,357,,,
2022-02-18 12:26AM,2022-02-18 5:46AM,282,37,18,319,75.0,180.0,27.0
2022-02-17 1:07AM,2022-02-17 8:21AM,378,56,22,434,68.0,264.0,46.0
2022-02-16 1:23AM,2022-02-16 7:14AM,323,28,1,351,,,
2022-02-15 1:15AM,2022-02-15 6:37AM,276,46,16,322,67.0,203.0,6.0
2022-02-14 1:04AM,2022-02-14 4:58AM,207,27,9,234,46.0,142.0,19.0
2022-02-12 3:19AM,2022-02-12 10:43AM,400,43,16,443,102.0,226.0,72.0
2022-02-11 1:38AM,2022-02-11 6:47AM,284,24,14,308,59.0,151.0,74.0
2022-02-09 2:14AM,2022-02-09 6:59AM,251,34,9,285,41.0,173.0,37.0
2022-02-08 1:10AM,2022-02-08 6:42AM,285,47,11,332,60.0,192.0,33.0
2022-02-07 3:33AM,2022-02-07 7:33AM,212,27,11,239,41.0,131.0,40.0
2022-02-06 5:09AM,2022-02-06 11:33AM,347,37,14,384,68.0,215.0,64.0
2022-02-05 2:24AM,2022-02-05 10:47AM,454,49,24,503,112.0,283.0,59.0
2022-02-04 12:59AM,2022-02-04 6:56AM,325,32,11,357,77.0,155.0,93.0
2022-02-03 12:52AM,2022-02-03 6:09AM,294,23,17,317,64.0,154.0,76.0
2022-02-02 12:05AM,2022-02-02 5:46AM,302,39,19,341,41.0,227.0,34.0
2022-02-01 1:27AM,2022-02-01 7:59AM,350,42,17,392,108.0,215.0,27.0
